,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density
a,7.4,0.7,0,1.9,3,11,34,1
a,7.8,0.88,0,2.6,0.098,25,67,3
a,7.8,0.76,0.04,2.3,10,15,54,1
a,11.2,0.28,0.56,1.9,0.075,17,60,3
a,7.4,0.7,0,1.9,0.076,11,34,4
a,7.4,0.66,0,1.8,0.075,13,40,1
a,7.9,0.6,0.06,1.6,0.069,15,59,1
a,7.3,0.65,0,1.2,40,15,21,5
a,7.8,0.58,0.02,2,0.073,9,18,1
a,7.5,0.5,0.36,6.1,0.071,17,102,1
a,6.7,0.58,0.08,1.8,0.097,15,65,4
a,7.5,0.5,0.36,6.1,0.071,17,102,1
a,5.6,0.615,0,1.6,0.089,16,59,1
a,7.8,0.61,0.29,1.6,0.114,9,29,1
a,8.9,0.62,0.18,3.8,0.176,52,145,1
a,8.9,0.62,0.19,3.9,0.17,51,148,1
a,8.5,0.28,0.56,1.8,0.092,35,103,7
a,8.1,0.56,0.28,1.7,0.368,16,56,1
a,7.4,0.59,0.08,4.4,0.086,6,29,1
a,7.9,0.32,0.51,1.8,0.341,17,56,1
a,8.9,0.22,0.48,1.8,0.077,29,60,1
a,7.6,0.39,0.31,2.3,0.082,23,71,1
a,7.9,0.43,0.21,1.6,0.106,10,37,11
a,8.5,0.49,0.11,2.3,0.084,9,67,8
a,6.9,0.4,0.14,2.4,0.085,21,40,1
a,6.3,0.39,0.16,1.4,0.08,11,23,1
a,7.6,0.41,0.24,1.8,0.08,4,11,1
a,7.9,0.43,0.21,1.6,0.106,10,37,1
a,7.1,0.71,0,1.9,0.08,14,35,1
a,7.8,0.645,0,2,0.082,8,16,9
a,6.7,0.675,0.07,2.4,0.089,17,82,1
a,6.9,0.685,0,2.5,0.105,22,37,1
